strategy_id	run_id	latest_completed_at	result_rows
advanced_rare_finish	dd35042262104d5994b591f1535fdda4	2026-03-10 22:22:40.336	0
bulk_essence	b00816a0fb2e45ce9573939d991d6a94	2026-03-10 22:22:40.468	0
cluster_basic	13d2a52e8ce648ea918084cfc1299a4d	2026-03-10 22:22:40.600	0
corruption_ev	2b057db28b394618bd97a3709df9440a	2026-03-10 22:22:40.731	0
cx_market_making	eef6ad2ab2aa49e8bb77e928c0fef627	2026-03-10 22:22:40.864	0
dump_tab_reprice	9797f184ac4a4e32ac943aac4bf3f121	2026-03-10 22:22:40.997	0
flask_basic	e06f82a5812747eaa767f3dcee0ca00b	2026-03-10 22:22:41.132	0
fossil_scarcity	6417d997fbea4c01b47b31c26117c6e6	2026-03-10 22:22:41.260	0
fragment_sets	33c836517ee440a19d6ac4ad8234178c	2026-03-10 22:22:41.390	0
high_dim_jewels	34e3bfc85d20423eae4cc2d0c8dfcf43	2026-03-10 22:22:41.534	0
rog_basic	6ed4cd80782c49e1b9f56c7ab1da2b5f	2026-03-10 22:22:41.679	0
scarab_reroll	910789445c5c407dbab6e3000100690d	2026-03-10 22:22:41.831	0
